hypervectorSize, inputQuant, classVectorQuant, trainIteration, numCorrect
4000, 2, 2, 1, 1232
4000, 2, 2, 2, 1230
4000, 2, 2, 3, 1204
4000, 2, 2, 4, 1195
4000, 2, 2, 5, 1206
4000, 2, 2, 6, 1251
4000, 2, 2, 7, 1235
4000, 2, 2, 8, 1253
4000, 2, 2, 9, 1280
4000, 2, 2, 10, 1302
4000, 2, 2, 11, 1292
4000, 2, 2, 12, 1267
4000, 2, 2, 13, 1271
4000, 2, 2, 14, 1255
4000, 2, 2, 15, 1257
4000, 2, 2, 16, 1241
4000, 2, 2, 17, 1286
4000, 2, 2, 18, 1300
4000, 2, 2, 19, 1261
4000, 2, 2, 20, 1245
4000, 4, 2, 1, 1272
4000, 4, 2, 2, 1253
4000, 4, 2, 3, 1255
4000, 4, 2, 4, 1251
4000, 4, 2, 5, 1228
4000, 4, 2, 6, 1245
4000, 4, 2, 7, 1198
4000, 4, 2, 8, 1185
4000, 4, 2, 9, 1142
4000, 4, 2, 10, 1132
4000, 4, 2, 11, 1157
4000, 4, 2, 12, 1046
4000, 8, 2, 1, 1288
4000, 8, 2, 2, 1273
4000, 8, 2, 3, 1277
4000, 8, 2, 4, 1302
4000, 8, 2, 5, 1304
4000, 8, 2, 6, 1294
4000, 8, 2, 7, 1284
4000, 8, 2, 8, 1274
4000, 8, 2, 9, 1273
4000, 8, 2, 10, 1246
4000, 8, 2, 11, 1269
4000, 8, 2, 12, 1282
4000, 8, 2, 13, 1283
4000, 8, 2, 14, 1260
4000, 8, 2, 15, 1247
4000, 8, 2, 16, 1274
4000, 8, 2, 17, 1266
4000, 8, 2, 18, 1269
4000, 8, 2, 19, 1266
4000, 8, 2, 20, 1302
4000, 16, 2, 1, 1283
4000, 16, 2, 2, 1262
4000, 16, 2, 3, 1268
4000, 16, 2, 4, 1298
4000, 16, 2, 5, 1288
4000, 16, 2, 6, 1277
4000, 16, 2, 7, 1286
4000, 16, 2, 8, 1300
4000, 16, 2, 9, 1290
4000, 16, 2, 10, 1299
4000, 16, 2, 11, 1299
4000, 16, 2, 12, 1275
4000, 16, 2, 13, 1286
4000, 16, 2, 14, 1306
4000, 16, 2, 15, 1341
4000, 16, 2, 16, 1357
4000, 16, 2, 17, 1362
4000, 16, 2, 18, 1389
4000, 16, 2, 19, 1388
4000, 16, 2, 20, 1383
4000, 32, 2, 1, 1273
4000, 32, 2, 2, 1273
4000, 32, 2, 3, 1283
4000, 32, 2, 4, 1309
4000, 32, 2, 5, 1305
4000, 32, 2, 6, 1284
4000, 32, 2, 7, 1273
4000, 32, 2, 8, 1310
4000, 32, 2, 9, 1296
4000, 32, 2, 10, 1292
4000, 32, 2, 11, 1293
4000, 32, 2, 12, 1290
4000, 32, 2, 13, 1305
4000, 32, 2, 14, 1285
4000, 32, 2, 15, 1268
4000, 32, 2, 16, 1296
4000, 32, 2, 17, 1296
4000, 32, 2, 18, 1281
4000, 32, 2, 19, 1233
4000, 32, 2, 20, 1316
4000, 64, 2, 1, 1277
4000, 64, 2, 2, 1261
4000, 64, 2, 3, 1279
4000, 64, 2, 4, 1304
4000, 64, 2, 5, 1291
4000, 64, 2, 6, 1316
4000, 64, 2, 7, 1345
4000, 64, 2, 8, 1361
4000, 64, 2, 9, 1374
4000, 64, 2, 10, 1359
4000, 64, 2, 11, 1348
4000, 64, 2, 12, 1351
4000, 64, 2, 13, 1341
4000, 64, 2, 14, 1345
4000, 64, 2, 15, 1342
4000, 64, 2, 16, 1327
4000, 64, 2, 17, 1347
4000, 64, 2, 18, 1335
4000, 64, 2, 19, 1319
4000, 64, 2, 20, 1328
4000, 2, 4, 1, 1331
4000, 2, 4, 2, 1332
4000, 2, 4, 3, 1338
4000, 2, 4, 4, 1356
4000, 2, 4, 5, 1338
4000, 2, 4, 6, 1315
4000, 2, 4, 7, 1333
4000, 2, 4, 8, 1364
4000, 2, 4, 9, 1382
4000, 2, 4, 10, 1396
4000, 2, 4, 11, 1400
4000, 2, 4, 12, 1406
4000, 2, 4, 13, 1410
4000, 2, 4, 14, 1410
4000, 2, 4, 15, 1406
4000, 2, 4, 16, 1398
4000, 2, 4, 17, 1401
4000, 2, 4, 18, 1396
