hypervectorSize, inputQuant, classVectorQuant, imageSize, retrainIteration, nCorrect
4000, 2, 2, 28, 1, 7990
4000, 2, 2, 28, 2, 8420
4000, 2, 2, 28, 3, 8499
4000, 2, 2, 28, 4, 8558
4000, 2, 2, 28, 5, 8549
4000, 2, 2, 28, 6, 8461
4000, 2, 2, 28, 7, 8294
4000, 4, 2, 28, 1, 8151
4000, 4, 2, 28, 2, 8505
4000, 4, 2, 28, 3, 8646
4000, 4, 2, 28, 4, 8760
4000, 4, 2, 28, 5, 8784
4000, 4, 2, 28, 6, 8725
4000, 4, 2, 28, 7, 8550
4000, 8, 2, 28, 1, 8174
4000, 8, 2, 28, 2, 8575
4000, 8, 2, 28, 3, 8722
4000, 8, 2, 28, 4, 8830
4000, 8, 2, 28, 5, 8896
4000, 8, 2, 28, 6, 8928
4000, 8, 2, 28, 7, 8980
4000, 8, 2, 28, 8, 8967
4000, 8, 2, 28, 9, 9034
4000, 8, 2, 28, 10, 8975
4000, 16, 2, 28, 1, 8230
4000, 16, 2, 28, 2, 8577
4000, 16, 2, 28, 3, 8749
4000, 16, 2, 28, 4, 8832
4000, 16, 2, 28, 5, 8894
4000, 16, 2, 28, 6, 8944
4000, 16, 2, 28, 7, 8967
4000, 16, 2, 28, 8, 9012
4000, 16, 2, 28, 9, 9030
4000, 16, 2, 28, 10, 9060
4000, 32, 2, 28, 1, 8219
4000, 32, 2, 28, 2, 8600
4000, 32, 2, 28, 3, 8731
4000, 32, 2, 28, 4, 8825
4000, 32, 2, 28, 5, 8893
4000, 32, 2, 28, 6, 8939
4000, 32, 2, 28, 7, 8989
4000, 32, 2, 28, 8, 9034
4000, 32, 2, 28, 9, 9052
4000, 32, 2, 28, 10, 9073
4000, 64, 2, 28, 1, 8207
4000, 64, 2, 28, 2, 8624
4000, 64, 2, 28, 3, 8763
4000, 64, 2, 28, 4, 8859
4000, 64, 2, 28, 5, 8917
4000, 64, 2, 28, 6, 8970
4000, 64, 2, 28, 7, 9027
4000, 64, 2, 28, 8, 9032
4000, 64, 2, 28, 9, 9080
4000, 64, 2, 28, 10, 9061
4000, 2, 4, 28, 1, 7996
4000, 2, 4, 28, 2, 8382
4000, 2, 4, 28, 3, 8469
4000, 2, 4, 28, 4, 8547
4000, 2, 4, 28, 5, 8273
4000, 4, 4, 28, 1, 8145
4000, 4, 4, 28, 2, 8564
4000, 4, 4, 28, 3, 8688
4000, 4, 4, 28, 4, 8780
